"filename", "language", "SCSS", "JSON", "TypeScript", "HTML", "comment", "blank", "total"
"c:\_code_github\Electron Base\src\app\_services\global.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 5, 17
"c:\_code_github\Electron Base\src\app\_services\global.service.ts", "TypeScript", 0, 0, 107, 0, 13, 27, 147
"c:\_code_github\Electron Base\src\app\app-routing.module.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 13
"c:\_code_github\Electron Base\src\app\app.component.html", "HTML", 0, 0, 0, 1, 0, 0, 1
"c:\_code_github\Electron Base\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\_code_github\Electron Base\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 5, 36
"c:\_code_github\Electron Base\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 2, 11
"c:\_code_github\Electron Base\src\app\app.module.ts", "TypeScript", 0, 0, 35, 0, 0, 3, 38
"c:\_code_github\Electron Base\src\app\classes\_global-classes.ts", "TypeScript", 0, 0, 242, 0, 8, 50, 300
"c:\_code_github\Electron Base\src\app\classes\parsers\_base-parser.ts", "TypeScript", 0, 0, 34, 0, 4, 9, 47
"c:\_code_github\Electron Base\src\app\classes\parsers\cost-parser.ts", "TypeScript", 0, 0, 22, 0, 0, 5, 27
"c:\_code_github\Electron Base\src\app\classes\parsers\department-parser.ts", "TypeScript", 0, 0, 20, 0, 0, 5, 25
"c:\_code_github\Electron Base\src\app\classes\parsers\purchase-parser.ts", "TypeScript", 0, 0, 22, 0, 0, 5, 27
"c:\_code_github\Electron Base\src\app\classes\parsers\sales-parser.ts", "TypeScript", 0, 0, 22, 0, 0, 5, 27
"c:\_code_github\Electron Base\src\app\file-process\file-process.component.html", "HTML", 0, 0, 0, 7, 0, 3, 10
"c:\_code_github\Electron Base\src\app\file-process\file-process.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\_code_github\Electron Base\src\app\file-process\file-process.component.ts", "TypeScript", 0, 0, 75, 0, 0, 9, 84
"c:\_code_github\Electron Base\src\app\file-upload\file-upload.component.html", "HTML", 0, 0, 0, 1, 0, 0, 1
"c:\_code_github\Electron Base\src\app\file-upload\file-upload.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\_code_github\Electron Base\src\app\file-upload\file-upload.component.ts", "TypeScript", 0, 0, 54, 0, 0, 16, 70
"c:\_code_github\Electron Base\src\app\material.module.ts", "TypeScript", 0, 0, 86, 0, 4, 2, 92
"c:\_code_github\Electron Base\src\app\step1\step1.component.html", "HTML", 0, 0, 0, 7, 0, 3, 10
"c:\_code_github\Electron Base\src\app\step1\step1.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\_code_github\Electron Base\src\app\step1\step1.component.ts", "TypeScript", 0, 0, 25, 0, 0, 8, 33
"c:\_code_github\Electron Base\src\app\step2\step2.component.html", "HTML", 0, 0, 0, 55, 5, 8, 68
"c:\_code_github\Electron Base\src\app\step2\step2.component.scss", "SCSS", 3, 0, 0, 0, 0, 1, 4
"c:\_code_github\Electron Base\src\app\step2\step2.component.ts", "TypeScript", 0, 0, 254, 0, 12, 61, 327
"c:\_code_github\Electron Base\src\app\stepper\stepper.component.html", "HTML", 0, 0, 0, 26, 1, 2, 29
"c:\_code_github\Electron Base\src\app\stepper\stepper.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\_code_github\Electron Base\src\app\stepper\stepper.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\_code_github\Electron Base\src\app\stepper\stepper.component.ts", "TypeScript", 0, 0, 19, 0, 0, 7, 26
"c:\_code_github\Electron Base\src\environments\environment.prod.ts", "TypeScript", 0, 0, 3, 0, 0, 1, 4
"c:\_code_github\Electron Base\src\environments\environment.ts", "TypeScript", 0, 0, 3, 0, 11, 3, 17
"c:\_code_github\Electron Base\src\index.html", "HTML", 0, 0, 0, 14, 0, 1, 15
"c:\_code_github\Electron Base\src\main.ts", "TypeScript", 0, 0, 9, 0, 0, 4, 13
"c:\_code_github\Electron Base\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 57, 8, 66
"c:\_code_github\Electron Base\src\styles.scss", "SCSS", 4, 0, 0, 0, 1, 0, 5
"c:\_code_github\Electron Base\src\test.ts", "TypeScript", 0, 0, 18, 0, 4, 4, 26
"c:\_code_github\Electron Base\src\tsconfig.app.json", "JSON", 0, 16, 0, 0, 8, 0, 24
"c:\_code_github\Electron Base\src\tsconfig.json", "JSON", 0, 26, 0, 0, 26, 0, 52
"Total", "-", 7, 42, 1133, 111, 154, 276, 1723
