"filename", "language", "JSON", "JavaScript", "SCSS", "TypeScript", "YAML", "HTML", "comment", "blank", "total"
"c:\_code\Smash\_config.yml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\_code\Smash\angular.json", "JSON", 128, 0, 0, 0, 0, 0, 34, 0, 162
"c:\_code\Smash\angular.webpack.js", "JavaScript", 0, 16, 0, 0, 0, 0, 3, 6, 25
"c:\_code\Smash\build_installer64.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 9, 7, 39
"c:\_code\Smash\e2e\common-setup.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 14, 7, 39
"c:\_code\Smash\e2e\main.e2e.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 9, 28
"c:\_code\Smash\e2e\tsconfig.e2e.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\_code\Smash\electron-builder.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 1, 44
"c:\_code\Smash\main.js", "JavaScript", 0, 86, 0, 0, 0, 0, 6, 0, 92
"c:\_code\Smash\main.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 5, 25, 110
"c:\_code\Smash\package-lock.json", "JSON", 24221, 0, 0, 0, 0, 0, 0, 1, 24222
"c:\_code\Smash\package.json", "JSON", 131, 0, 0, 0, 0, 0, 0, 1, 132
"c:\_code\Smash\src\app\_services\global.service.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 28, 31, 198
"c:\_code\Smash\src\app\_services\ipc.service.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\_code\Smash\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\_code\Smash\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\_code\Smash\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\_code\Smash\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\_code\Smash\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
